,ltla_code,X,utla_code,utla_name,ltla_name,total_first_dose,total_second_dose,population,median_age,White_British,Other_White,Mixed,Asian,Black,Other,mean_imd_score
143,E07000119,139,E10000017,Lancashire,Fylde,58061,47817,80780,49.8,96.15384615,2.564102564,0,0,1.282051282,0,15.875
144,E07000120,140,E10000017,Lancashire,Hyndburn,47507,32960,81043,39.9,82.27848101,3.797468354,0,12.65822785,0,1.265822785,34.333
145,E07000121,141,E10000017,Lancashire,Lancaster,94118,73523,146038,40,90.14084507,5.633802817,0.704225352,2.816901408,0,0.704225352,24.165
146,E07000122,142,E10000017,Lancashire,Pendle,55586,35980,92112,39.7,80,1.111111111,1.111111111,16.66666667,0,1.111111111,30.723
147,E07000123,143,E10000017,Lancashire,Preston,90324,64866,143135,35.2,75.88652482,4.964539007,2.127659574,14.89361702,2.127659574,0,29.531
148,E07000124,144,E10000017,Lancashire,Ribble Valley,43865,32772,60888,47.5,100,0,0,0,0,0,10.594
149,E07000125,145,E10000017,Lancashire,Rossendale,44372,32029,71482,42.5,97.10144928,1.449275362,0,1.449275362,0,0,24.062
150,E07000126,146,E10000017,Lancashire,South Ribble,76071,58425,110788,44.1,95.4954955,0.900900901,0.900900901,0.900900901,0,1.801801802,15.33
151,E07000127,147,E10000017,Lancashire,West Lancashire,75670,60764,114306,44.3,94.64285714,2.678571429,0,2.678571429,0,0,18.645
152,E07000128,148,E10000017,Lancashire,Wyre,78163,66712,112091,49.2,99.08256881,0,0.917431193,0,0,0,20.858
153,E07000129,149,E10000018,Leicestershire,Blaby,69076,53426,101526,43.1,85.56701031,4.12371134,3.092783505,6.18556701,0,1.030927835,10.629
154,E07000130,150,E10000018,Leicestershire,Charnwood,113937,86118,185851,38.5,84.18079096,5.649717514,2.259887006,6.779661017,0,1.129943503,13.238
155,E07000131,151,E10000018,Leicestershire,Harborough,64690,51271,93807,45.8,92.22222222,4.444444444,2.222222222,1.111111111,0,0,8.015
156,E07000132,152,E10000018,Leicestershire,Hinckley and Bosworth,74735,58303,113136,45,95.41284404,1.834862385,0,2.752293578,0,0,13.461
157,E07000133,153,E10000018,Leicestershire,Melton,34622,27816,51209,46.8,94,4,2,0,0,0,12.532
158,E07000134,154,E10000018,Leicestershire,North West Leicestershire,67270,51712,103611,43.9,90.81632653,5.102040816,1.020408163,2.040816327,1.020408163,0,14.573
159,E07000135,155,E10000018,Leicestershire,Oadby and Wigston,38298,29007,57015,42.7,69.09090909,3.636363636,0,25.45454545,1.818181818,0,12.958
160,E07000136,156,E10000019,Lincolnshire,Boston,41300,32602,70173,42,83.58208955,14.92537313,0,1.492537313,0,0,22.967
161,E07000137,157,E10000019,Lincolnshire,East Lindsey,102863,84919,141727,51.6,94.24460432,4.316546763,0,1.438848921,0,0,29.892
162,E07000138,158,E10000019,Lincolnshire,Lincoln,53998,40139,99299,33.6,85.71428571,7.142857143,2.040816327,3.06122449,0,2.040816327,26.889
163,E07000139,159,E10000019,Lincolnshire,North Kesteven,81680,63296,116915,46,97.34513274,1.769911504,0,0.884955752,0,0,11.553
164,E07000140,160,E10000019,Lincolnshire,South Holland,60348,48308,95019,46,83.87096774,15.05376344,1.075268817,0,0,0,17.896
165,E07000141,161,E10000019,Lincolnshire,South Kesteven,97360,74201,142424,45.7,92.14285714,4.285714286,0.714285714,2.142857143,0.714285714,0,13.499
166,E07000142,162,E10000019,Lincolnshire,West Lindsey,65702,53385,95667,47.6,97.87234043,1.063829787,0,1.063829787,0,0,20.355
167,E07000143,163,E10000020,Norfolk,Breckland,94411,75127,139968,46.1,89.70588235,8.823529412,0,0.735294118,0,0.735294118,19.614
168,E07000144,164,E10000020,Norfolk,Broadland,92761,72372,130783,47.8,97.63779528,0.787401575,0,1.57480315,0,0,11.817
169,E07000145,165,E10000020,Norfolk,Great Yarmouth,67667,52673,99336,45.3,87.87878788,7.070707071,1.01010101,2.02020202,0,2.02020202,33.097
170,E07000146,166,E10000020,Norfolk,King's Lynn and West Norfolk,102651,80601,151383,47,90.06622517,7.947019868,0,0.662251656,1.324503311,0,23.72
171,E07000147,167,E10000020,Norfolk,North Norfolk,75830,62722,104837,53.5,98.05825243,1.941747573,0,0,0,0,21.058
172,E07000148,168,E10000020,Norfolk,Norwich,82699,58598,140573,33.5,82.01438849,7.194244604,0,6.474820144,2.877697842,1.438848921,27.599
173,E07000149,169,E10000020,Norfolk,South Norfolk,98120,75722,140880,46.2,90.22556391,4.511278195,2.255639098,3.007518797,0,0,13.318
174,E07000150,170,E10000021,Northamptonshire,Corby,38450,27205,72218,37.3,82.08955224,17.91044776,0,0,0,0,25.706
175,E07000151,171,E10000021,Northamptonshire,Daventry,58107,43953,85950,45.3,91.35802469,4.938271605,2.469135802,1.234567901,0,0,13.184
176,E07000152,172,E10000021,Northamptonshire,East Northamptonshire,61102,43958,94527,44.2,90.2173913,5.434782609,1.086956522,2.173913043,1.086956522,0,13.897
177,E07000153,173,E10000021,Northamptonshire,Kettering,64979,46653,101776,41.2,87.87878788,5.050505051,3.03030303,2.02020202,2.02020202,0,19.23
178,E07000154,174,E10000021,Northamptonshire,Northampton,129465,90582,224610,36.9,76.88888889,12,1.333333333,3.555555556,5.333333333,0.888888889,23.358
179,E07000155,175,E10000021,Northamptonshire,South Northamptonshire,64844,46484,94490,45.1,97.72727273,2.272727273,0,0,0,0,7.652
180,E07000156,176,E10000021,Northamptonshire,Wellingborough,49793,35353,79707,41.8,84.81012658,5.063291139,2.53164557,6.329113924,1.265822785,0,21.676
181,E07000163,177,E10000023,North Yorkshire,Craven,42369,32891,57142,49.7,96.42857143,3.571428571,0,0,0,0,12.76
182,E07000164,178,E10000023,North Yorkshire,Hambleton,63854,54032,91594,49,98.9010989,1.098901099,0,0,0,0,11.987
183,E07000165,179,E10000023,North Yorkshire,Harrogate,111618,92797,160831,46.6,90.0621118,5.590062112,0.621118012,1.863354037,0.621118012,1.242236025,10.897
